year,France,Serbia,Croatia,Spain,Germany,Lithuania,Greece,Italy,Turkey,Russia,Slovenia,England,Georgia,Montenegro,Ukraine,Bosnia and Herzegovina,Latvia,Czech Republic,Israel,Netherlands,Macedonia,Poland,Bulgaria,Finland,Ireland,Sweden,Switzerland,Austria,Belarus,Belgium,Denmark,Estonia,Hungary,Iceland,Luxembourg,Norway,Portugal,Romania,Slovakia
1980,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1981,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1982,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1982,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1983,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1984,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1985,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1986,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1987,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1988,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1989,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1990,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1990,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1990,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1991,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1992,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1993,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1994,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1995,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1996,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1997,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1998,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1999,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2000,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2001,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2002,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2003,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2004,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2005,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2006,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2007,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2008,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2009,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2010,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2011,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2012,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2013,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2014,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2015,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2016,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2017,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2018,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2019,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2020,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2021,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2022,42,31,22,20,19,15,14,14,14,13,13,12,11,9,9,7,7,5,5,5,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1